UID          PID    PPID  C STIME TTY          TIME CMD
isaac       1130    1109  0 20:42 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 16777231 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
isaac       1131    1109  0 20:42 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 16777232 notification-plugin Notification Plugin Notification plugin for the Xfce panel
isaac       1132    1109  0 20:42 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 16777233 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
isaac       1136    1109  0 20:42 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libactions.so 2200 16777234 actions Action Buttons Log out, lock or other system actions
isaac       1172     931  0 20:42 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/notifyd/xfce4-notifyd
isaac       1187     978  0 20:42 ?        00:00:00 nm-applet
isaac       1194     978  0 20:42 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
isaac       1202     978  0 20:42 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
isaac       1209       1  0 20:42 ?        00:00:00 /usr/bin/spice-vdagent
isaac       1210     978  0 20:42 ?        00:00:00 xfce4-power-manager
isaac       1217     978  0 20:42 ?        00:00:00 light-locker
root        1226       1  0 20:42 ?        00:00:00 /usr/sbin/spice-vdagentd
isaac       1243       1  0 20:42 ?        00:00:00 xcape -e Super_L Control_L Escape
isaac       1259     978  0 20:42 ?        00:00:00 xiccd
isaac       1264     931  0 20:42 ?        00:00:00 /usr/libexec/dconf-service
isaac       1266     978  0 20:42 ?        00:00:00 /usr/bin/python3 /usr/bin/blueman-applet
isaac       1270     931  0 20:42 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
root        1283       1  0 20:42 ?        00:00:00 /usr/libexec/udisks2/udisksd
colord      1295       1  0 20:42 ?        00:00:00 /usr/libexec/colord
isaac       1346     931  0 20:42 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
isaac       1370     931  0 20:42 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
